,Symbol,BuyDate,BuyPrice,SellDate,SellPrice,PnL_Percent,Equity
0,AUBANK.NS,26-07-2017,602.2999878,04-08-2017,560.4000244,-6.956660174,9279.600586
1,AUBANK.NS,30-10-2017,593,23-11-2017,658.4500122,11.03710155,10211.35077
2,AUBANK.NS,27-02-2018,600,08-03-2018,575.0999756,-4.150004069,9738.050354
3,AUBANK.NS,29-07-2019,662.7000122,06-08-2019,622.5,-6.066094985,9125.250183
4,AUBANK.NS,30-03-2020,515,07-04-2020,488.7000122,-5.106793746,8628.150391
5,AUBANK.NS,15-05-2020,428,20-05-2020,385,-10.04672897,7718.150391
6,AUBANK.NS,22-05-2020,415,27-05-2020,383,-7.710843373,7092.150391
7,AUBANK.NS,07-08-2020,728.0999756,11-08-2020,707.4000244,-2.843009458,6855.85083
8,AUBANK.NS,29-09-2020,679,03-11-2020,773,13.84388807,7745.85083
9,AUBANK.NS,03-12-2020,890,21-12-2020,900,1.123595506,7775.85083
10,AUBANK.NS,23-03-2021,1235,30-03-2021,1199.949951,-2.838060634,7515.550537
11,AUBANK.NS,09-04-2021,1250,13-04-2021,1076.5,-13.88,6424.550537
12,AUBANK.NS,07-07-2021,1109,26-07-2021,1174,5.861136159,6699.550537
0,ADANIENT.NS,20-01-2015,77.97102356,09-03-2015,106.5108414,36.6031078,13603.09668
1,ADANIENT.NS,12-05-2015,108.3654633,01-06-2015,108.6720123,0.282884475,13591.41531
2,ADANIENT.NS,18-11-2015,43.67383194,08-12-2015,42.9927063,-1.559573801,13329.58524
3,ADANIENT.NS,16-12-2015,43.01995087,08-01-2016,44.68190002,3.863205616,13793.12753
4,ADANIENT.NS,03-03-2016,34.32877731,30-03-2016,37.08052826,8.015872284,14846.57966
5,ADANIENT.NS,05-10-2016,37.27124405,26-10-2016,36.78083038,-1.315796342,14601.39502
6,ADANIENT.NS,13-09-2017,72.96227264,25-09-2017,66.42346191,-8.961906603,13243.63287
7,ADANIENT.NS,06-10-2017,66.9683609,18-10-2017,64.29834747,-3.98697742,12667.64023
8,ADANIENT.NS,26-02-2018,111.7047501,06-03-2018,110.3424988,-1.219510613,12463.70583
9,ADANIENT.NS,16-03-2018,91.27095795,20-03-2018,86.61205292,-5.104476971,11780.09475
10,ADANIENT.NS,08-06-2018,80.04224396,25-06-2018,83.41075134,4.208411982,12225.26534
11,ADANIENT.NS,07-09-2018,165.25,12-09-2018,148.5,-10.13615734,10952.51534
12,ADANIENT.NS,30-11-2018,168.5,07-12-2018,151.8000031,-9.910977417,9817.015533
