,Ticker,Investment,FinalReturns,TotalTrades,FinalAmount,,,Invested,Amout,%Gain
0,AUBANK.NS,10000,-33,13,6700,,,1160000,1182713,1.96
1,ADANIENT.NS,10000,19.14,24,11914,,,,,
2,BANKBARODA.NS,10000,13.83,26,11383,,,,,
3,BAJAJFINSV.NS,10000,-14.16,34,8584,,,,,
4,GUJGASLTD.NS,10000,-3.48,15,9652,,,,,
5,CUMMINSIND.NS,10000,-16.41,25,8359,,,,,
6,ASIANPAINT.NS,10000,-36.55,33,6345,,,,,
7,ADANIGREEN.NS,10000,24.06,15,12406,,,,,
8,IRCTC.NS,10000,44.96,12,14496,,,,,
9,SHREECEM.NS,10000,2.24,17,10224,,,,,
10,ICICIBANK.NS,10000,-8.37,43,9163,,,,,
11,BRITANNIA.NS,10000,75.07,23,17507,,,,,
12,CANBK.NS,10000,-27.59,31,7241,,,,,
13,ADANITRANS.NS,10000,298.21,19,39821,,,,,
14,MARICO.NS,10000,-24.47,32,7553,,,,,
15,MINDTREE.NS,10000,5.64,19,10564,,,,,
16,CROMPTON.NS,10000,40.23,14,14023,,,,,
17,INDUSINDBK.NS,10000,-33.84,24,6616,,,,,
18,COALINDIA.NS,10000,-51.84,34,4816,,,,,
19,VEDL.NS,10000,-24.29,28,7571,,,,,
20,MUTHOOTFIN.NS,10000,13.03,26,11303,,,,,
21,ITC.NS,10000,0.21,29,10021,,,,,
22,SRTRANSFIN.NS,10000,-8.58,37,9142,,,,,
23,GODREJPROP.NS,10000,16.84,23,11684,,,,,
24,HEROMOTOCO.NS,10000,-33.87,24,6613,,,,,
25,AXISBANK.NS,10000,-1.43,34,9857,,,,,
26,RELIANCE.NS,10000,13.94,29,11394,,,,,
27,TATAPOWER.NS,10000,-16.07,27,8393,,,,,
28,UPL.NS,10000,-21.55,34,7845,,,,,
29,RAMCOCEM.NS,10000,-0.02,16,9998,,,,,
30,NMDC.NS,10000,-27.24,36,7276,,,,,
31,ACC.NS,10000,-9.44,32,9056,,,,,
32,MOTHERSUMI.NS,10000,33.81,24,13381,,,,,
33,JINDALSTEL.NS,10000,-13.18,31,8682,,,,,
34,DRREDDY.NS,10000,2.62,24,10262,,,,,
35,HINDUNILVR.NS,10000,-6.44,19,9356,,,,,
36,IOB.NS,10000,-44.28,21,5572,,,,,
37,NTPC.NS,10000,-52.58,37,4742,,,,,
38,SBICARD.NS,10000,5.82,6,10582,,,,,
39,ULTRACEMCO.NS,10000,16.54,30,11654,,,,,
40,ABCAPITAL.NS,10000,6.83,21,10683,,,,,
41,HDFC.NS,10000,4.89,37,10489,,,,,
42,AUROPHARMA.NS,10000,-3.88,41,9612,,,,,
43,GRASIM.NS,10000,-24.05,26,7595,,,,,
44,BHARATFORG.NS,10000,53.32,23,15332,,,,,
45,IGL.NS,10000,-17.89,27,8211,,,,,
46,TATAMTRDVR.NS,10000,30.24,36,13024,,,,,
47,TRENT.NS,10000,-11.36,13,8864,,,,,
48,TCS.NS,10000,39.7,23,13970,,,,,
49,IDBI.NS,10000,-52.45,22,4755,,,,,
50,ADANIPORTS.NS,10000,-46.21,21,5379,,,,,
51,BAJAJ-AUTO.NS,10000,-22.9,19,7710,,,,,
52,SBILIFE.NS,10000,24.28,19,12428,,,,,
53,LAURUSLABS.NS,10000,5.17,19,10517,,,,,
54,EICHERMOT.NS,10000,-34.76,24,6524,,,,,
55,HDFCBANK.NS,10000,-7.18,29,9282,,,,,
56,JSWSTEEL.NS,10000,2.39,38,10239,,,,,
57,BAJFINANCE.NS,10000,26.44,27,12644,,,,,
58,POWERGRID.NS,10000,-17.67,35,8233,,,,,
59,CIPLA.NS,10000,-13.88,23,8612,,,,,
60,CHOLAFIN.NS,10000,16.55,18,11655,,,,,
61,WIPRO.NS,10000,13.45,16,11345,,,,,
62,L&TFH.NS,10000,30.86,33,13086,,,,,
63,INFY.NS,10000,-1.52,23,9848,,,,,
64,GAIL.NS,10000,-20.32,27,7968,,,,,
65,LT.NS,10000,-26.6,27,7340,,,,,
66,IOC.NS,10000,6.05,24,10605,,,,,
67,HDFCLIFE.NS,10000,-6.08,16,9392,,,,,
68,DIVISLAB.NS,10000,89,31,18900,,,,,
69,BHARTIARTL.NS,10000,11.92,22,11192,,,,,
70,BPCL.NS,10000,-19.73,25,8027,,,,,
71,ONGC.NS,10000,-15.57,35,8443,,,,,
72,DABUR.NS,10000,-25.87,23,7413,,,,,
73,TATAMOTORS.NS,10000,109.27,37,20927,,,,,
74,TITAN.NS,10000,16.99,24,11699,,,,,
75,MCDOWELL-N.NS,10000,-33.92,33,6608,,,,,
76,ICICIPRULI.NS,10000,12.52,28,11252,,,,,
77,VOLTAS.NS,10000,-6.24,28,9376,,,,,
78,TVSMOTOR.NS,10000,-16.31,15,8369,,,,,
79,LUPIN.NS,10000,62.2,32,16220,,,,,
80,ADANIPOWER.NS,10000,35.21,37,13521,,,,,
81,CADILAHC.NS,10000,-31.02,28,6898,,,,,
82,IDFCFIRSTB.NS,10000,-5.79,29,9421,,,,,
83,TATASTEEL.NS,10000,-1.51,30,9849,,,,,
84,M&M.NS,10000,-8.7,33,9130,,,,,
85,CONCOR.NS,10000,20.65,19,12065,,,,,
