,Ticker,Investment,FinalReturns,TotalTrades,FinalAmount
0,BHARATFORG.NS,5000,-30.51,33,3474.5
1,PEL.NS,5000,-31.75,23,3412.5
2,GRASIM.NS,5000,63.61,29,8180.5
3,RAMCOCEM.NS,5000,156.2,28,12810.0
4,HINDALCO.NS,5000,146.76,32,12338.0
5,ADANIGREEN.NS,5000,547.24,13,32362.000000000004
6,ATGL.NS,5000,66.82,6,8341.0
7,RELIANCE.NS,5000,455.84,24,27792.0
8,ABCAPITAL.NS,5000,-47.75,27,2612.5
9,ULTRACEMCO.NS,5000,-30.22,27,3489.0
10,BERGEPAINT.NS,5000,126.9,20,11345.0
11,M&M.NS,5000,-25.52,26,3724.0
12,HINDPETRO.NS,5000,-27.64,39,3618.0
13,EICHERMOT.NS,5000,-7.98,29,4601.0
14,CHOLAFIN.NS,5000,-89.81,23,509.5
15,TECHM.NS,5000,-32.65,24,3367.5
16,ASIANPAINT.NS,5000,74.05,20,8702.5
17,DABUR.NS,5000,41.0,24,7050.0
18,PIDILITIND.NS,5000,22.03,24,6101.5
19,TITAN.NS,5000,147.56,31,12378.0
20,JSWSTEEL.NS,5000,-98.55,35,72.5
21,HINDUNILVR.NS,5000,-59.47,27,2026.5
22,POWERGRID.NS,5000,1.41,24,5070.5
23,HAVELLS.NS,5000,-32.18,28,3391.0
24,MARICO.NS,5000,1.32,26,5066.0
25,CANBK.NS,5000,-96.53,42,173.5
26,SUNTV.NS,5000,-39.41,30,3029.5
27,CROMPTON.NS,5000,-1.27,22,4936.5
28,ICICIBANK.NS,5000,-97.91,35,104.5
29,CUMMINSIND.NS,5000,-90.01,27,499.5
30,TRENT.NS,5000,176.19,20,13809.5
31,BAJAJ-AUTO.NS,5000,2.9,31,5145.0
32,ITC.NS,5000,-97.18,32,140.9999999999991
33,WIPRO.NS,5000,-40.2,26,2990.0
34,TATACONSUM.NS,5000,70.04,24,8502.0
35,ICICIPRULI.NS,5000,20.3,29,6015.0
36,MCDOWELL-N.NS,5000,-63.92,42,1804.0
37,SUNPHARMA.NS,5000,-74.45,38,1277.4999999999995
38,NHPC.NS,5000,-54.84,33,2258.0
39,GAIL.NS,5000,-4.99,29,4750.5
40,HCLTECH.NS,5000,-32.35,32,3382.5
41,LUPIN.NS,5000,-89.78,45,511.0
42,NMDC.NS,5000,-68.92,40,1554.0
43,MOTHERSUMI.NS,5000,-60.32,33,1984.0
44,TORNTPOWER.NS,5000,-98.19,31,90.5
45,UPL.NS,5000,147.13,33,12356.5
46,AUBANK.NS,5000,81.18,12,9059.0
47,DEEPAKNTR.NS,5000,23.97,25,6198.5
48,JINDALSTEL.NS,5000,154.49,41,12724.5
49,BAJAJFINSV.NS,5000,87.02,22,9351.0
50,LT.NS,5000,123.37,25,11168.5
51,ASHOKLEY.NS,5000,-20.81,32,3959.5
52,NESTLEIND.NS,5000,-13.0,13,4350.0
53,SHREECEM.NS,5000,-27.0,27,3650.0
54,LAURUSLABS.NS,5000,-5.55,14,4722.5
55,HDFC.NS,5000,-8.53,28,4573.5
56,CIPLA.NS,5000,-96.71,35,164.5
57,ADANITRANS.NS,5000,-92.43,21,378.4999999999991
58,BHARTIARTL.NS,5000,-98.17,30,91.5
59,COALINDIA.NS,5000,-97.75,39,112.5
60,L&TFH.NS,5000,-13.53,29,4323.5
61,AUROPHARMA.NS,5000,306.2,33,20310.0
62,MUTHOOTFIN.NS,5000,-2.1,23,4895.0
63,PNB.NS,5000,-99.86,48,7.0
64,ADANIENT.NS,5000,45.64,28,7282.0
65,TATAPOWER.NS,5000,-53.61,34,2319.5
