,period,multiplier,roi,investment,finalReturn,totalTrades
15,10,5,114.18,500000,570891.9912,481
2,9,5,119.03,500000,595132.8564,484
8,8,5,116.55,500000,582725.3347,491
9,7,5,115.87,500000,579327.8464,502
20,6,5,112.64,500000,563188.9485,511
19,5,5,112.75,500000,563726.2048,521
16,4,5,114.09,500000,570460.2225,529
18,3,5,113.35,500000,566744.0504,560
6,10,4.5,117.29,500000,586454.3052,576
11,9,4.5,115.35,500000,576759.7604,583
3,8,4.5,118.08,500000,590406.8501,585
10,7,4.5,115.67,500000,578361.2868,588
17,6,4.5,113.6,500000,567989.1473,595
12,5,4.5,115.16,500000,575791.2337,605
13,4,4.5,114.97,500000,574837.3601,620
0,2,5,126.53,500000,632646.5075,621
1,3,4.5,122.03,500000,610129.8937,650
24,9,4,108.67,500000,543340.4556,698
14,8,4,114.42,500000,572104.6822,699
26,10,4,107.34,500000,536713.2027,701
21,7,4,111.43,500000,557152.9658,706
22,6,4,111.04,500000,555211.3444,713
23,5,4,109.88,500000,549391.258,725
7,2,4.5,116.99,500000,584927.8493,731
5,4,4,117.69,500000,588456.467,737
4,3,4,117.95,500000,589764.0793,780
25,2,4,108.26,500000,541314.1691,858
28,1,5,100.44,500000,502189.9835,915
34,1,4.5,95.6,500000,477975.2273,1048
40,9,3,93.35,500000,466753.8557,1069
49,10,3,88.8,500000,443980.5184,1071
37,6,3,94.23,500000,471160.5175,1073
42,8,3,91.94,500000,459711.6141,1074
46,7,3,90.11,500000,450537.5245,1075
35,5,3,95.39,500000,476953.5246,1078
27,4,3,101.7,500000,508492.3184,1095
36,3,3,95.26,500000,476315.4668,1141
32,8,2.75,96.72,500000,483582.5978,1199
30,7,2.75,97.18,500000,485910.9497,1201
41,1,4,92.95,500000,464725.7226,1201
33,9,2.75,95.96,500000,479823.7701,1205
31,6,2.75,97.15,500000,485750.8898,1210
45,10,2.75,90.42,500000,452104.3011,1213
29,5,2.75,97.75,500000,488761.8991,1224
44,4,2.75,91.06,500000,455316.2496,1235
39,2,3,93.62,500000,468119.9909,1236
47,3,2.75,89.1,500000,445512.862,1285
38,7,2.5,94.08,500000,470407.5105,1383
43,6,2.5,91.22,500000,456093.7456,1383
48,5,2.5,89,500000,444999.0811,1389
50,8,2.5,88.79,500000,443933.8657,1390
57,2,2.75,78.32,500000,391606.3839,1394
52,9,2.5,86.65,500000,433233.6797,1397
51,10,2.5,87.25,500000,436238.3308,1400
54,4,2.5,84.31,500000,421545.0816,1404
58,3,2.5,78.29,500000,391430.2714,1477
63,2,2.5,74.47,500000,372342.322,1583
64,1,3,70.37,500000,351825.4297,1676
66,1,2.75,61.71,500000,308552.7879,1863
59,7,2,77.47,500000,387329.5308,1909
53,10,2,84.4,500000,422021.613,1912
55,8,2,82,500000,410011.7097,1914
60,6,2,76.78,500000,383875.3837,1916
56,9,2,80.65,500000,403237.6812,1917
62,5,2,75.38,500000,376910.0931,1926
61,4,2,75.81,500000,379058.1178,1944
65,3,2,65.54,500000,327711.9285,2001
68,1,2.5,55.05,500000,275227.5061,2077
67,2,2,59.26,500000,296305.4863,2093
75,1,2,32.42,500000,162098.8174,2690
69,10,1.5,46.64,500000,233177.8827,2839
70,9,1.5,39.62,500000,198087.8357,2844
74,5,1.5,34.54,500000,172677.345,2848
71,8,1.5,38.97,500000,194866.8486,2850
73,7,1.5,37.82,500000,189094.259,2850
72,6,1.5,37.91,500000,189537.7716,2856
76,4,1.5,31.86,500000,159297.7779,2873
77,3,1.5,23.01,500000,115061.4947,2944
78,2,1.5,19.42,500000,97098.37041,3033
79,1,1.5,13.63,500000,68172.59523,3630
87,10,1,-1.29,500000,-6427.660191,4523
88,9,1,-2.87,500000,-14330.63649,4532
86,8,1,0.13,500000,631.1631317,4537
83,7,1,0.54,500000,2681.583366,4551
85,6,1,0.15,500000,761.3353958,4560
80,4,1,6.65,500000,33262.97797,4568
81,5,1,4.75,500000,23727.82395,4571
82,3,1,1.42,500000,7102.296638,4635
84,2,1,0.41,500000,2035.353363,4701
89,1,1,-6.56,500000,-32803.24564,5364
